"family","binomial","collectDate","country","stateProv","county"
"Apocynaceae","Apocynum androsaemifolium",1988-06-01,"United States","Idaho","Idaho"
"Apocynaceae","Amsonia tomentosa",1895-06-15,"United States","California","San Bernardino"
"Apocynaceae","Asclepias californica",1940-04-14,"United States","California","Tulare"
"Apocynaceae","Asclepias linaria",1982-05-22,"United States","Arizona","Pima"
"Apocynaceae","Metastelma latifolium",2001-08-31,"Mexico","Sonora","San Javier"
"Apocynaceae","Matelea cordifolia",1996-09-23,"Mexico","Baja California Sur","Comondú"
"Apocynaceae","Asclepias speciosa",1921-07-16,"United States","Washington","Okanogan"
"Apocynaceae","Cycladenia humilis",1960-08-19,"United States","California","Tehama"
"Apocynaceae","Asclepias cryptoceras",1979-06-06,"United States","Oregon","Malheur"
"Apocynaceae","Amsonia tomentosa",1973-05-09,"United States","California","San Bernardino"
"Apocynaceae","Apocynum androsaemifolium",1927-08-01,"United States","Colorado","Larimer"
"Apocynaceae","Asclepias tuberosa",1962-08-13,"United States","New Mexico","Hidalgo"
"Apocynaceae","Apocynum androsaemifolium",2001-06-01,"United States","Oregon","Wasco"
"Apocynaceae","Apocynum androsaemifolium",1999-07-29,"United States","California","Tuolumne"
"Apocynaceae","Asclepias subulata",2011-08-31,"Mexico","Baja California Sur","Comondú"
"Apocynaceae","Asclepias speciosa",1992-08-01,"United States","Colorado","Garfield"
"Apocynaceae","Apocynum androsaemifolium",1905-08-31,"United States","California","Tulare"
"Apocynaceae","Asclepias cordifolia",NA,"United States","California","Butte"
"Apocynaceae","Rauvolfia tetraphylla",NA,"Mexico","Jalisco","Tomatlán"
"Apocynaceae","Asclepias cryptoceras",1880-06-01,"United States","Oregon","Crook"
"Apocynaceae","Asclepias linaria",1992-06-14,"Mexico","Sonora","Yécora"
"Apocynaceae","Vallesia glabra",1960-06-06,"Mexico","Sinaloa","Culiacán"
"Apocynaceae","Asclepias speciosa",1968-07-30,NA,NA,NA
"Apocynaceae","Asclepias subulata",2009-05-06,"United States","California","San Diego"
"Apocynaceae","Asclepias albicans",1972-03-04,"Mexico","Sonora","San Luis Río Colorado"
"Apocynaceae","Asclepias cordifolia",1882-06-30,"United States","California","Placer"
"Apocynaceae","Apocynum cannabinum",2003-06-19,"United States","California","Los Angeles"
"Apocynaceae","Funastrum cynanchoides",1989-04-16,"United States","California","Riverside"
"Apocynaceae","Asclepias cordifolia",1976-05-30,"United States","California","Humboldt"
"Apocynaceae","Asclepias vestita",1988-07-02,"United States","California","Los Angeles"
"Apocynaceae","Asclepias californica",1996-05-17,"United States","California","San Diego"
"Apocynaceae","Asclepias californica",2003-06-18,"United States","California","Los Angeles"
"Apocynaceae","Asclepias jaliscana",1997-07-15,"Mexico","Sonora","Yécora"
"Apocynaceae","Rauvolfia tetraphylla",1982-06-25,"Mexico","Sinaloa","Concordia"
"Apocynaceae","Apocynum androsaemifolium",1985-07-10,"United States","California","Placer"
"Apocynaceae","Asclepias vestita",1966-05-06,"United States","California","San Bernardino"
"Apocynaceae","Apocynum androsaemifolium",1946-06-28,"United States","California","Modoc"
"Apocynaceae","Amsonia tomentosa",2000-04-19,"United States","Arizona","Mohave"
"Apocynaceae","Asclepias subulata",1940-11-10,"United States","California","Riverside"
"Apocynaceae","Asclepias californica",2015-03-20,"United States","California","Kern"
"Apocynaceae","Asclepias vestita",1978-06-02,"United States","California","San Bernardino"
"Apocynaceae","Asclepias albicans",2005-03-30,"United States","California","San Diego"
"Apocynaceae","Amsonia tomentosa",1958-04-12,"United States","California","San Bernardino"
"Apocynaceae","Asclepias speciosa",1986-06-19,"United States","Colorado","Jefferson"
"Apocynaceae","Apocynum cannabinum",NA,"United States","Colorado","Rio Blanco"
"Apocynaceae","Asclepias cordifolia",1935-07-31,"United States","California","Humboldt"
"Apocynaceae","Cynanchum ligulatum",1927-08-07,"United States","Arizona","Santa Cruz"
"Apocynaceae","Asclepias macrotis",1907-06-18,"United States","Arizona","Maricopa"
"Apocynaceae","Apocynum cannabinum",1996-06-03,"United States","California","Tehama"
"Apocynaceae","Apocynum cannabinum",1996-06-01,"United States","California","Riverside"
"Apocynaceae","Mandevilla foliosa",1990-08-24,"Mexico","Chihuahua","Madera"
"Apocynaceae","Dictyanthus reticulatus",2007-10-10,"Mexico","Jalisco","Tomatlán"
"Apocynaceae","Amsonia grandiflora",1974-04-21,"United States","Arizona","Santa Cruz"
"Apocynaceae","Apocynum androsaemifolium",1960-08-14,"United States","California","Mono"
"Apocynaceae","Funastrum cynanchoides",1993-05-10,"United States","California","San Diego"
"Apocynaceae","Asclepias speciosa",1992-06-15,"United States","Washington","Yakima"
"Apocynaceae","Matelea parvifolia",1966-03-16,"Mexico","Baja California","Ensenada"
"Apocynaceae","Cycladenia humilis",1960-06-05,"United States","California","Monterey"
"Apocynaceae","Apocynum cannabinum",1999-06-18,"United States","California","Colusa"
"Apocynaceae","Asclepias speciosa",1983-07-16,"United States","Wyoming","Sweetwater"
"Apocynaceae","Asclepias erosa",1997-04-27,"Mexico","Sonora","San Luis Río Colorado"
"Apocynaceae","Apocynum cannabinum",1979-07-09,"United States","Nevada","Lander"
"Apocynaceae","Seutera palmeri",1962-04-03,"Mexico","Baja California Sur","Comondú"
"Apocynaceae","Marsdenia lanata",1998-10-27,NA,NA,NA
"Apocynaceae","Matelea magallanesii",1982-10-05,NA,NA,NA
"Apocynaceae","Asclepias subverticillata",1966-08-13,NA,NA,NA
"Apocynaceae","Asclepias uncialis",1979-05-21,"United States","Utah","Wayne"
"Apocynaceae","Asclepias erosa",1901-06-30,"United States","California","Riverside"
"Apocynaceae","Apocynum androsaemifolium",1892-07-13,"United States","California","Siskiyou"
"Apocynaceae","Funastrum cynanchoides",1953-02-07,"Mexico","Baja California","Ensenada"
"Apocynaceae","Asclepias cryptoceras",1967-07-06,"United States","California","Mono"
"Apocynaceae","Cycladenia humilis",1934-09-09,"United States","California","Monterey"
"Apocynaceae","Asclepias subulata",2007-12-01,"United States","California","San Diego"
"Apocynaceae","Asclepias cordifolia",1977-05-22,"United States","California","Siskiyou"
"Apocynaceae","Asclepias brachystephana",2014-04-25,"United States","New Mexico","Luna"
"Apocynaceae","Asclepias subulata",2003-05-04,"United States","California","San Bernardino"
"Apocynaceae","Asclepias rusbyi",1890-06-21,"United States","Arizona","Navajo"
"Apocynaceae","Asclepias viridiflora",NA,"United States","Colorado","Larimer"
"Apocynaceae","Asclepias californica",2014-06-07,"United States","California","Kern"
"Apocynaceae","Asclepias variegata",NA,"United States","Montana","Madison"
"Apocynaceae","Asclepias erosa",1923-06-29,"United States","California","San Diego"
"Apocynaceae","Asclepias speciosa",2011-08-18,"United States","California","Nevada"
"Apocynaceae","Asclepias speciosa",1973-08-09,"United States","Wyoming","Albany"
"Apocynaceae","Asclepias albicans",1986-03-10,"United States","California","Imperial"
"Apocynaceae","Asclepias erosa",1972-03-24,"United States","California","San Bernardino"
"Apocynaceae","Asclepias californica",NA,"United States","California","San Bernardino"
"Apocynaceae","Asclepias solanoana",1977-07-14,"United States","California","Mendocino"
"Apocynaceae","Vallesia glabra",1960-08-06,"Mexico","Sonora","Guaymas"
"Apocynaceae","Vallesia glabra",1933-02-26,"Mexico","Sonora","Guaymas"
"Apocynaceae","Asclepias albicans",1995-10-25,"Mexico","Baja California Sur","Comondú"
"Apocynaceae","Vallesia glabra",1969-11-24,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Mandevilla subsagittata",1971-10-29,"Mexico","Nayarit","Compostela"
"Apocynaceae","Asclepias albicans",2005-10-26,"United States","California","Riverside"
"Apocynaceae","Apocynum androsaemifolium",NA,"United States","Washington","Snohomish"
"Apocynaceae","Asclepias cordifolia",1980-06-08,"United States","California","Siskiyou"
"Apocynaceae","Vallesia glabra",1972-09-13,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Asclepias cordifolia",2007-05-18,"United States","California","Placer"
"Apocynaceae","Asclepias cryptoceras",1868-05-01,"United States","Nevada","Pershing"
"Apocynaceae","Asclepias californica",2003-04-29,"United States","California","Los Angeles"
"Apocynaceae","Apocynum cannabinum",1937-07-10,"United States","California","Lassen"
"Apocynaceae","Asclepias angustifolia",1949-07-13,"United States","Arizona","Santa Cruz"
"Apocynaceae","Amsonia peeblesii",1981-05-31,"United States","Arizona","Coconino"
"Apocynaceae","Plumeria rubra",1999-10-26,"Mexico","Nayarit","Tecuala"
"Apocynaceae","Apocynum cannabinum",1941-05-25,"United States","Arizona","Coconino"
"Apocynaceae","Asclepias cordifolia",1935-07-16,"United States","California","Tuolumne"
"Apocynaceae","Apocynum cannabinum",1952-06-22,"United States","California","Monterey"
"Apocynaceae","Asclepias speciosa",1929-07-07,"United States","Oregon","Curry"
"Apocynaceae","Amsonia tomentosa",1928-04-29,"United States","California","San Bernardino"
"Apocynaceae","Dictyanthus sepicola",1973-09-10,"Mexico","Sinaloa","El Rosario"
"Apocynaceae","Asclepias speciosa",1954-06-25,"United States","Oregon","Benton"
"Apocynaceae","Apocynum cannabinum",2006-07-01,"United States","California","Inyo"
